L6,H5,L5,H6,H4,LL5,LL6,H4/5,CM2,H3,L3,Other
0,0,0,0,0,0,127000,0,0,0,0,103.3
0,0,0,0,0,0,0,0,0,0,0,50015000
0,0,0,40,0,0,0,0,0,0,0,10164602
49000,0,9039,16210,4000,3700,0,0,0,0,0,11079370.5
2241666.5,1377287,752342.8,1079354.4,936423,23402,113878,31650,17305,0,0,247016354.6
6704277.354,10144208.76,5590741.97,1973539.102,2047404.174,708095.19,594449.59,4142.23,127408.05,199880.01,33507.59,220223682.1
2574206.794,2394394.662,2091393.657,629746.187,990578.204,497616.075,517053.46,24961.877,5298.82,93587.1,512649.38,28622564.94
