name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Asuka 881439,4148,Valid,L6,14.61,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881440,4149,Valid,L6,67.59,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881443,4152,Valid,L6,156.74,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881444,4153,Valid,L6,140.68,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881445,4154,Valid,L5,34.39,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881446,4155,Valid,H4,15.7,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881448,4157,Valid,H4,341.27,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881449,4158,Valid,H5,10.4,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881450,4159,Valid,H5,65.95,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881452,4161,Valid,CK6,12.77,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881453,4162,Valid,H4,122.97,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881455,4164,Valid,H5,933.35,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881456,4165,Valid,H6,72.75,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881457,4166,Valid,H4,11.82,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881458,4167,Valid,CM2,56.84,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881460,4169,Valid,H3.9,13.1,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881461,4170,Valid,Eucrite,31.59,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881462,4171,Valid,L6,236.85,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881463,4172,Valid,H4,25.69,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881464,4173,Valid,L6,22.76,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881465,4174,Valid,H6,137.05,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881466,4175,Valid,L4,18.57,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881467,4176,Valid,Eucrite-mmict,38.4,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881468,4177,Valid,H5,309.93,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881469,4178,Valid,H5,39.25,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881470,4179,Valid,L6,60.76,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881471,4180,Valid,L5,13.7,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881472,4181,Valid,H4,21.89,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881473,4182,Valid,CK4,17.65,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881474,4183,Valid,H5,294.49,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881475,4184,Valid,EH5,70.13,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881476,4185,Valid,H5,111.37,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881478,4187,Valid,L4,113.79,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881479,4188,Valid,H5,108.39,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881480,4189,Valid,H6,13.82,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881484,4193,Valid,L3.6,31.85,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881485,4194,Valid,H4,13.22,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881488,4197,Valid,L6,399.9,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881491,4200,Valid,H3.7,35.06,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881492,4201,Valid,H3.7,108.07,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881493,4202,Valid,H3.7,245.3,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881494,4203,Valid,L3.3,414.65,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881498,4207,Valid,L3.9,198.78,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881500,4209,Valid,H4,247.82,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881501,4210,Valid,H4,192.02,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881504,4213,Valid,LL4,178.58,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881505,4214,Valid,L4,22.74,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881506,4215,Valid,H3,12.67,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881507,4216,Valid,L3,72.37,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881508,4217,Valid,LL6,129.29,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881510,4219,Valid,H4,16.19,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881511,4220,Valid,H4,29.88,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881512,4221,Valid,LL3.8,27.17,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881514,4223,Valid,L6,16.18,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881515,4224,Valid,H4,21.6,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881516,4225,Valid,L6,119,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881517,4226,Valid,L6,232.87,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881519,4228,Valid,H6,13.06,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881522,4231,Valid,L3.3,10.7,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881523,4232,Valid,H5,11.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881526,4235,Valid,Diogenite,470.06,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881529,4238,Valid,H4,16.42,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881533,4242,Valid,L6,51.86,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881535,4244,Valid,CO3,1.58,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881536,4245,Valid,H4,42.91,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881537,4246,Valid,LL6,15.17,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881538,4247,Valid,H3.7,57.17,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881539,4248,Valid,H3.8,1896.48,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881540,4249,Valid,H4,15.45,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881541,4250,Valid,CH3,49.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881542,4251,Valid,L6,83.7,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881544,4253,Valid,H3.6,26.19,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881545,4254,Valid,H6,19.93,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881546,4255,Valid,H3.7,10.44,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881547,4256,Valid,H3,15.81,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881548,4257,Valid,Achondrite-ung,110.16,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881550,4259,Valid,H5,16.88,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881551,4260,Valid,C6,162.48,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881552,4261,Valid,LL3,68.93,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881554,4263,Valid,H4,20.14,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881555,4264,Valid,LL6,27.34,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881556,4265,Valid,L5,10.35,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881558,4267,Valid,H3.8,31.78,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881560,4269,Valid,H5,15.17,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881561,4270,Valid,H4,836.87,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881563,4272,Valid,L6,19.83,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881564,4273,Valid,L4,37.22,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881565,4274,Valid,H5,49.69,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881566,4275,Valid,H4,179.96,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881567,4276,Valid,LL3.9,740.76,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881568,4277,Valid,H4,25.46,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881570,4279,Valid,L6,58.26,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881571,4280,Valid,H6,222.64,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881572,4281,Valid,H6,11.92,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881573,4282,Valid,H6,19.27,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881574,4283,Valid,H5,15.29,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881575,4284,Valid,EH3,37.49,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881576,4285,Valid,H5,95.59,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881580,4289,Valid,H6,94.42,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881581,4290,Valid,L6,52.63,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881582,4291,Valid,H4,61.64,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881583,4292,Valid,L6,12.68,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881584,4293,Valid,LL6,11.32,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881588,4297,Valid,LL6,11.98,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881590,4299,Valid,L5,261.64,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881591,4300,Valid,H4,12.94,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881594,4303,Valid,CM2,35.74,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881595,4304,Valid,CR2,126.59,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881597,4306,Valid,H3.8,21.25,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881599,4308,Valid,H6,25.46,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881600,4309,Valid,H,27.52,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881601,4310,Valid,L5,86.84,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881603,4312,Valid,H6,12.68,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881604,4313,Valid,L6,457.53,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881606,4315,Valid,H4,27.89,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881607,4316,Valid,LL3.0,15.79,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881608,4317,Valid,LL6,1143.05,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881609,4318,Valid,H3.7,60.71,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881610,4319,Valid,H5,290.11,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881611,4320,Valid,LL6,13.08,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881612,4321,Valid,EL6,19.16,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881613,4322,Valid,H3,545.71,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881614,4323,Valid,H4,387.82,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881615,4324,Valid,H4,229.75,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881616,4325,Valid,LL3.7,40.63,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881617,4326,Valid,L6,210.15,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881618,4327,Valid,H5,40.49,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881619,4328,Valid,H4,280.02,Found,1988,-72,26,"(-72.0, 26.0)"
Asuka 881621,4330,Valid,L3.9,58.3,Found,1988,-72,26,"(-72.0, 26.0)"
