name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Frontier Mountain 97035,10764,Valid,H5,5.1,Found,1997,-72.96778,160.4775,"(-72.96778, 160.4775)"
Frontier Mountain 97036,10765,Valid,H5,1,Found,1997,-72.98944,160.4125,"(-72.98944, 160.4125)"
Frontier Mountain 97037,10766,Valid,H4,0.6,Found,1997,-72.98889,160.40722,"(-72.98889, 160.40722)"
Frontier Mountain 97038,10767,Valid,H4,0.5,Found,1997,-72.98833,160.40722,"(-72.98833, 160.40722)"
Frontier Mountain 97039,10768,Valid,H5,1.3,Found,1997,-72.98833,160.40694,"(-72.98833, 160.40694)"
Frontier Mountain 97040,10769,Valid,H4/5,0.5,Found,1997,-72.98833,160.40722,"(-72.98833, 160.40722)"
Frontier Mountain 97041,10770,Valid,H4,7.8,Found,1997,-72.98833,160.40667,"(-72.98833, 160.40667)"
Frontier Mountain 97042,10771,Valid,H5,2.6,Found,1997,-72.98972,160.40667,"(-72.98972, 160.40667)"
Frontier Mountain 97043,10772,Valid,H4,1.1,Found,1997,-72.98972,160.40667,"(-72.98972, 160.40667)"
Frontier Mountain 97044,10773,Valid,H4,8.9,Found,1997,-72.98944,160.4075,"(-72.98944, 160.4075)"
Frontier Mountain 97045,10774,Valid,Eucrite-pmict,14.9,Found,1997,-72.98861,160.40694,"(-72.98861, 160.40694)"
Frontier Mountain 97046,10775,Valid,H6,3.4,Found,1997,-72.98972,160.40583,"(-72.98972, 160.40583)"
Frontier Mountain 97047,10776,Valid,H4,0.8,Found,1997,-72.98667,160.40861,"(-72.98667, 160.40861)"
Frontier Mountain 97048,10777,Valid,H4,1,Found,1997,-72.98972,160.40944,"(-72.98972, 160.40944)"
Frontier Mountain 97049,10778,Valid,H4,2.9,Found,1997,-72.98889,160.40611,"(-72.98889, 160.40611)"
Frontier Mountain 97050,10779,Valid,H4,1.8,Found,1997,-72.98861,160.40889,"(-72.98861, 160.40889)"
Frontier Mountain 97051,10780,Valid,H4,6.6,Found,1997,-72.98861,160.40694,"(-72.98861, 160.40694)"
Frontier Mountain 97052,10781,Valid,L5,12.4,Found,1997,-72.955,160.43389,"(-72.955, 160.43389)"
Frontier Mountain 97053,10782,Valid,H5,11.3,Found,1997,-72.95333,160.47778,"(-72.95333, 160.47778)"
Frontier Mountain 97054,10783,Valid,H6,1.8,Found,1997,-72.98972,160.40889,"(-72.98972, 160.40889)"
Frontier Mountain 97055,10784,Valid,H5,9.1,Found,1997,-72.98917,160.40556,"(-72.98917, 160.40556)"
Frontier Mountain 97056,10785,Valid,L/LL3,1.6,Found,1997,-72.99056,160.40556,"(-72.99056, 160.40556)"
Frontier Mountain 97058,10786,Valid,H4,8.9,Found,1997,-72.98972,160.40667,"(-72.98972, 160.40667)"
Frontier Mountain 97059,10787,Valid,H4,4,Found,1997,-72.98972,160.40667,"(-72.98972, 160.40667)"
Frontier Mountain 97060,10788,Valid,H4,6.1,Found,1997,-72.99278,160.40444,"(-72.99278, 160.40444)"
Frontier Mountain 97061,10789,Valid,H4,4.2,Found,1997,-72.99167,160.40472,"(-72.99167, 160.40472)"
Frontier Mountain 97062,10790,Valid,H5,5.6,Found,1997,-72.99417,160.3975,"(-72.99417, 160.3975)"
Frontier Mountain 97063,10791,Valid,H4/5,3.6,Found,1997,-72.99139,160.40528,"(-72.99139, 160.40528)"
Frontier Mountain 97064,10792,Valid,H5,3.5,Found,1997,-72.99139,160.40444,"(-72.99139, 160.40444)"
Frontier Mountain 97065,10793,Valid,H6,5.1,Found,1997,-72.99111,160.40583,"(-72.99111, 160.40583)"
Frontier Mountain 97066,10794,Valid,H4,1.8,Found,1997,-72.99028,160.405,"(-72.99028, 160.405)"
