name,longitude,latitude,country,continent
Lewis Cliff 86533,not found,not found,not found,not found
Lewis Cliff 86534,not found,not found,not found,not found
Lewis Cliff 86535,not found,not found,not found,not found
Lewis Cliff 86536,not found,not found,not found,not found
Lewis Cliff 86537,not found,not found,not found,not found
Lewis Cliff 86538,not found,not found,not found,not found
Lewis Cliff 86539,not found,not found,not found,not found
Lewis Cliff 86540,not found,not found,not found,not found
Lewis Cliff 86541,not found,not found,not found,not found
Lewis Cliff 86542,not found,not found,not found,not found
Lewis Cliff 86543,not found,not found,not found,not found
Lewis Cliff 86544,not found,not found,not found,not found
Lewis Cliff 86545,not found,not found,not found,not found
Lewis Cliff 86546,not found,not found,not found,not found
Lewis Cliff 86549,not found,not found,not found,not found
Morro la Mina,not found,not found,not found,not found
New Lynn,-101.6132291,33.1663296,United States,North America
Ocate,not found,not found,not found,not found
Nurina 003,not found,not found,not found,not found
Nurina 004,not found,not found,not found,not found
Nyanga Lake 001,not found,not found,not found,not found
Nyanga Lake 002,not found,not found,not found,not found
Nyanga Lake 003,not found,not found,not found,not found
Otinapa,-105.0547234,24.1736708,Mexico,North America
Pampa (a),not found,not found,not found,not found
Pampa (b),not found,not found,not found,not found
Pampa (c),not found,not found,not found,not found
Pampa (d),not found,not found,not found,not found
Queen Alexandra Range 86900,not found,not found,not found,not found
Reckling Peak 86700,not found,not found,not found,not found
Reckling Peak 86701,not found,not found,not found,not found
Reckling Peak 86702,not found,not found,not found,not found
