name,longitude,latitude,country,continent
Yamato 000802,not found,not found,not found,not found
Yamato 002875,-89.2686591,13.6634038,El Salvador,North America
Al Zarnkh,not found,not found,not found,not found
Beni M'hira,10.8002204,32.8664741,Tunisia,Africa
Bukhara,64.5999589,39.7812522,Uzbekistan,Asia
Dergaon,93.8326937,26.7483888,India,Asia
Devgaon,-55.5747003,-34.4855597,Uruguay,South America
Acfer 321,not found,not found,not found,not found
Acfer 322,2.8488652,27.3587307,Algeria,Africa
Acfer 323,not found,not found,not found,not found
Acfer 324,not found,not found,not found,not found
Acfer 327,not found,not found,not found,not found
Acfer 328,not found,not found,not found,not found
Acfer 329,2.8488652,27.3587307,Algeria,Africa
Acfer 330,not found,not found,not found,not found
Acfer 331,not found,not found,not found,not found
Acfer 332,not found,not found,not found,not found
Acfer 333,not found,not found,not found,not found
Acfer 347,2.8488652,27.3587307,Algeria,Africa
Acfer 348,not found,not found,not found,not found
Acfer 349,not found,not found,not found,not found
Acfer 350,not found,not found,not found,not found
Acfer 351,not found,not found,not found,not found
Acfer 352,not found,not found,not found,not found
Acfer 353,2.8488652,27.3587307,Algeria,Africa
Acfer 354,not found,not found,not found,not found
Acfer 357,not found,not found,not found,not found
Acfer 394,not found,not found,not found,not found
Acfer 395,not found,not found,not found,not found
Acfer 396,not found,not found,not found,not found
Acfer 397,not found,not found,not found,not found
Acfer 398,not found,not found,not found,not found
Acfer 399,2.8488652,27.3587307,Algeria,Africa
Acfer 400,not found,not found,not found,not found
Adrar Bous,52.6396396,29.5608425,Iran,Asia
Aguemour 017,2.8488652,27.3587307,Algeria,Africa
Al Huqf 052,not found,not found,not found,not found
Al Huqf 053,not found,not found,not found,not found
Al Huqf 054,not found,not found,not found,not found
Al Huqf 055,not found,not found,not found,not found
Al Huqf 056,not found,not found,not found,not found
Al Huqf 057,not found,not found,not found,not found
Al Huqf 058,not found,not found,not found,not found
Al Huqf 059,not found,not found,not found,not found
Al Huqf 060,not found,not found,not found,not found
Al Huqf 062,not found,not found,not found,not found
Ararki,74.4359685,29.0447503,India,Asia
Arches,-109.5746189,38.6931734,United States,North America
Beyneu,not found,not found,not found,not found
Bluewing 008,not found,not found,not found,not found
Bou Kra,not found,not found,not found,not found
Coyote Dry Lake 151,not found,not found,not found,not found
Coyote Dry Lake 152,not found,not found,not found,not found
Coyote Dry Lake 153,not found,not found,not found,not found
Coyote Dry Lake 155,not found,not found,not found,not found
Coyote Dry Lake 159,not found,not found,not found,not found
Dar al Gani 1022,15.1065417,26.9956212,Libya,Africa
Dar al Gani 1040,not found,not found,not found,not found
Dar al Gani 1048,not found,not found,not found,not found
Dar al Gani 872,not found,not found,not found,not found
Dar al Gani 898,not found,not found,not found,not found
Dar al Gani 980,not found,not found,not found,not found
Dar al Gani 981,not found,not found,not found,not found
Dar al Gani 995,not found,not found,not found,not found
David Glacier 01001,not found,not found,not found,not found
Dhofar 1002,not found,not found,not found,not found
Dhofar 1003,not found,not found,not found,not found
Dhofar 1004,not found,not found,not found,not found
Dhofar 1005,not found,not found,not found,not found
Dhofar 1018,not found,not found,not found,not found
