name,longitude,latitude,country,continent
Hammadah al Hamra 220,not found,not found,not found,not found
Hammadah al Hamra 221,not found,not found,not found,not found
Hammadah al Hamra 222,not found,not found,not found,not found
Hammadah al Hamra 223,not found,not found,not found,not found
Hammadah al Hamra 224,not found,not found,not found,not found
Hammadah al Hamra 225,not found,not found,not found,not found
Hammadah al Hamra 226,not found,not found,not found,not found
Hammadah al Hamra 227,not found,not found,not found,not found
Hammadah al Hamra 228,not found,not found,not found,not found
Hammadah al Hamra 229,not found,not found,not found,not found
Hammadah al Hamra 230,not found,not found,not found,not found
Hammadah al Hamra 231,not found,not found,not found,not found
Hammadah al Hamra 232,13.2233859,30.704649,Libya,Africa
Hammadah al Hamra 233,not found,not found,not found,not found
Hammadah al Hamra 234,not found,not found,not found,not found
Hammadah al Hamra 235,not found,not found,not found,not found
Hammadah al Hamra 236,not found,not found,not found,not found
Hammadah al Hamra 237,not found,not found,not found,not found
Hammadah al Hamra 238,12.8637627,27.6023172,Libya,Africa
Hammadah al Hamra 239,not found,not found,not found,not found
Hammadah al Hamra 240,not found,not found,not found,not found
Hammadah al Hamra 241,not found,not found,not found,not found
Hammadah al Hamra 242,not found,not found,not found,not found
Hammadah al Hamra 243,not found,not found,not found,not found
Hammadah al Hamra 244,not found,not found,not found,not found
Hammadah al Hamra 245,not found,not found,not found,not found
Hammadah al Hamra 246,not found,not found,not found,not found
Hammadah al Hamra 247,not found,not found,not found,not found
Hammadah al Hamra 248,not found,not found,not found,not found
Hammadah al Hamra 249,not found,not found,not found,not found
Hammadah al Hamra 250,not found,not found,not found,not found
Hammadah al Hamra 251,12.8153785,28.7703664,Libya,Africa
Hammadah al Hamra 252,not found,not found,not found,not found
Hammadah al Hamra 253,not found,not found,not found,not found
Hammadah al Hamra 254,not found,not found,not found,not found
Hualapai Wash 021,not found,not found,not found,not found
Jabal Akakus,not found,not found,not found,not found
Kimba,136.3396367,-33.2319964,Australia,Oceania
King Tut,not found,not found,not found,not found
Lewis Cliff 97200,-88.24,15.26,Honduras,North America
Lewis Cliff 97201,-88.24,15.26,Honduras,North America
Lewis Cliff 97202,-88.24,15.26,Honduras,North America
Lewis Cliff 97203,-88.24,15.26,Honduras,North America
Lewis Cliff 97204,-88.24,15.26,Honduras,North America
Lewis Cliff 97205,-88.24,15.26,Honduras,North America
Lewis Cliff 97206,-88.24,15.26,Honduras,North America
Lewis Cliff 97207,-88.24,15.26,Honduras,North America
Lewis Cliff 97208,-88.24,15.26,Honduras,North America
Lewis Cliff 97209,-88.24,15.26,Honduras,North America
Lewis Cliff 97210,-88.24,15.26,Honduras,North America
Lewis Cliff 97211,-88.24,15.26,Honduras,North America
Lewis Cliff 97212,-88.24,15.26,Honduras,North America
Lewis Cliff 97213,-88.24,15.26,Honduras,North America
Lewis Cliff 97214,-88.24,15.26,Honduras,North America
Lewis Cliff 97215,-88.24,15.26,Honduras,North America
Lewis Cliff 97216,-88.24,15.26,Honduras,North America
Lewis Cliff 97217,-88.24,15.26,Honduras,North America
Lewis Cliff 97218,-88.24,15.26,Honduras,North America
Lewis Cliff 97219,-88.24,15.26,Honduras,North America
Lewis Cliff 97220,-88.24,15.26,Honduras,North America
Lewis Cliff 97221,-88.24,15.26,Honduras,North America
Lewis Cliff 97222,-88.24,15.26,Honduras,North America
Lewis Cliff 97223,-88.24,15.26,Honduras,North America
Lewis Cliff 97224,-88.24,15.26,Honduras,North America
Lewis Cliff 97225,-88.24,15.26,Honduras,North America
Lewis Cliff 97226,-88.24,15.26,Honduras,North America
Lewis Cliff 97227,-88.24,15.26,Honduras,North America
Little Minnie Creek,not found,not found,not found,not found
Murzuq Idhån,not found,not found,not found,not found
Northwest Africa 2957,not found,not found,not found,not found
Onello,not found,not found,not found,not found
Österplana 011,13.4359866,58.5805871,Sweden,Europe
Österplana 017,13.4359866,58.5805871,Sweden,Europe
Österplana 019,13.4359866,58.5805871,Sweden,Europe
Österplana 020,13.4359866,58.5805871,Sweden,Europe
Österplana 021,13.4359866,58.5805871,Sweden,Europe
Poolowanna,not found,not found,not found,not found
Primm,not found,not found,not found,not found
Queen Alexandra Range 97001,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97002,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97003,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97004,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97005,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97006,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97007,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97008,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97009,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97010,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97011,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97012,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97013,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97014,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97015,21.1239074,55.724395,Lithuania,Europe
Queen Alexandra Range 97016,21.1239074,55.724395,Lithuania,Europe
