name,longitude,latitude,country,continent
Yamato 790836,not found,not found,not found,not found
Yamato 790837,not found,not found,not found,not found
Yamato 790838,not found,not found,not found,not found
Yamato 790839,not found,not found,not found,not found
Yamato 790840,not found,not found,not found,not found
Yamato 790841,not found,not found,not found,not found
Yamato 790842,not found,not found,not found,not found
Yamato 790843,not found,not found,not found,not found
Yamato 790844,not found,not found,not found,not found
Yamato 790845,not found,not found,not found,not found
Yamato 790846,not found,not found,not found,not found
Yamato 790847,not found,not found,not found,not found
Yamato 790848,not found,not found,not found,not found
Yamato 790849,not found,not found,not found,not found
Yamato 790850,not found,not found,not found,not found
Yamato 790851,not found,not found,not found,not found
Yamato 790852,not found,not found,not found,not found
Yamato 790853,not found,not found,not found,not found
Yamato 790854,not found,not found,not found,not found
Yamato 790855,not found,not found,not found,not found
Yamato 790856,not found,not found,not found,not found
Yamato 790857,not found,not found,not found,not found
Yamato 790858,not found,not found,not found,not found
Yamato 790859,not found,not found,not found,not found
Yamato 790860,not found,not found,not found,not found
Yamato 790861,not found,not found,not found,not found
Yamato 790862,not found,not found,not found,not found
Yamato 790863,not found,not found,not found,not found
Yamato 790864,not found,not found,not found,not found
Yamato 790865,not found,not found,not found,not found
Yamato 790866,not found,not found,not found,not found
Yamato 790867,not found,not found,not found,not found
Yamato 790868,not found,not found,not found,not found
Yamato 790869,not found,not found,not found,not found
Yamato 790870,not found,not found,not found,not found
Yamato 790871,not found,not found,not found,not found
Yamato 790872,not found,not found,not found,not found
Yamato 790873,not found,not found,not found,not found
Yamato 790874,not found,not found,not found,not found
Yamato 790875,not found,not found,not found,not found
Yamato 790876,not found,not found,not found,not found
Yamato 790877,not found,not found,not found,not found
Yamato 790878,not found,not found,not found,not found
Yamato 790879,not found,not found,not found,not found
Yamato 790880,not found,not found,not found,not found
Yamato 790881,not found,not found,not found,not found
Yamato 790882,not found,not found,not found,not found
Yamato 790883,not found,not found,not found,not found
Yamato 790884,not found,not found,not found,not found
Yamato 790885,not found,not found,not found,not found
Yamato 790886,not found,not found,not found,not found
Yamato 790887,not found,not found,not found,not found
Yamato 790888,not found,not found,not found,not found
Yamato 790889,not found,not found,not found,not found
Yamato 790890,not found,not found,not found,not found
Yamato 790891,not found,not found,not found,not found
Yamato 790892,not found,not found,not found,not found
Yamato 790893,not found,not found,not found,not found
Yamato 790894,not found,not found,not found,not found
Yamato 790895,not found,not found,not found,not found
Yamato 790896,not found,not found,not found,not found
Yamato 790897,not found,not found,not found,not found
Yamato 790898,not found,not found,not found,not found
Yamato 790899,not found,not found,not found,not found
Yamato 790900,not found,not found,not found,not found
Yamato 790901,not found,not found,not found,not found
Yamato 790902,not found,not found,not found,not found
Yamato 790903,not found,not found,not found,not found
Yamato 790904,not found,not found,not found,not found
Yamato 790905,not found,not found,not found,not found
Yamato 790906,not found,not found,not found,not found
Yamato 790907,not found,not found,not found,not found
Yamato 790908,not found,not found,not found,not found
Yamato 790909,not found,not found,not found,not found
Yamato 790910,not found,not found,not found,not found
Yamato 790911,not found,not found,not found,not found
Yamato 790912,not found,not found,not found,not found
Yamato 790913,not found,not found,not found,not found
Yamato 790914,not found,not found,not found,not found
Yamato 790915,not found,not found,not found,not found
Yamato 790916,not found,not found,not found,not found
Yamato 790917,not found,not found,not found,not found
Yamato 790918,not found,not found,not found,not found
Yamato 790919,not found,not found,not found,not found
Yamato 790920,not found,not found,not found,not found
Yamato 790921,not found,not found,not found,not found
Yamato 790922,not found,not found,not found,not found
Yamato 790923,not found,not found,not found,not found
Yamato 790924,not found,not found,not found,not found
Yamato 790925,not found,not found,not found,not found
Yamato 790926,not found,not found,not found,not found
Yamato 790927,not found,not found,not found,not found
Yamato 790928,not found,not found,not found,not found
Yamato 790929,not found,not found,not found,not found
Yamato 790930,not found,not found,not found,not found
Yamato 790931,not found,not found,not found,not found
Yamato 790932,not found,not found,not found,not found
Yamato 790933,not found,not found,not found,not found
Yamato 790934,not found,not found,not found,not found
Yamato 790935,not found,not found,not found,not found
Yamato 790936,not found,not found,not found,not found
Yamato 790937,not found,not found,not found,not found
Yamato 790938,not found,not found,not found,not found
Yamato 790939,not found,not found,not found,not found
Yamato 790940,not found,not found,not found,not found
Yamato 790941,not found,not found,not found,not found
Yamato 790942,not found,not found,not found,not found
Yamato 790943,not found,not found,not found,not found
Yamato 790944,not found,not found,not found,not found
Yamato 790946,not found,not found,not found,not found
Yamato 790947,not found,not found,not found,not found
Yamato 790948,not found,not found,not found,not found
Yamato 790949,not found,not found,not found,not found
Yamato 790950,not found,not found,not found,not found
Yamato 790952,not found,not found,not found,not found
