name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Yamato 000802,24357,Valid,Martian (nakhlite),22,Found,2000,-71.5,35.66667,"(-71.5, 35.66667)"
Yamato 002875,43637,Valid,Diogenite,10667,Found,2000,0,0,"(0.0, 0.0)"
Al Zarnkh,447,Valid,LL5,700,Fell,2001,13.66033,28.96,"(13.66033, 28.96)"
Beni M'hira,5018,Valid,L6,19000,Fell,2001,32.86667,10.8,"(32.86667, 10.8)"
Bukhara,30448,Valid,CV3,5300,Fell,2001,39.77978,64.60035,"(39.77978, 64.60035)"
Dergaon,6664,Valid,H5,12500,Fell,2001,26.68333,93.86667,"(26.68333, 93.86667)"
Devgaon,6694,Valid,H3.8,12000,Fell,2001,19,81,"(19.0, 81.0)"
Acfer 321,329,Valid,H5,157,Found,2001,27.5455,4.06117,"(27.5455, 4.06117)"
Acfer 322,330,Valid,L5,25,Found,2001,27.55917,4.093,"(27.55917, 4.093)"
Acfer 323,331,Valid,LL5,117,Found,2001,27.503,3.8795,"(27.503, 3.8795)"
Acfer 324,30428,Valid,CR2,69,Found,2001,27.50083,3.86983,"(27.50083, 3.86983)"
Acfer 327,334,Valid,H5,745.22,Found,2001,27.73333,4.43333,"(27.73333, 4.43333)"
Acfer 328,335,Valid,CV3,180.07,Found,2001,27.73333,4.21667,"(27.73333, 4.21667)"
Acfer 329,336,Valid,L4/5,30000,Found,2001,27.58333,4.1,"(27.58333, 4.1)"
Acfer 330,337,Valid,L6,490,Found,2001,27.65,4.03333,"(27.65, 4.03333)"
Acfer 331,338,Valid,CM2,750,Found,2001,27.58333,4.01667,"(27.58333, 4.01667)"
Acfer 332,339,Valid,CO3,115.02,Found,2001,27.73333,4.13333,"(27.73333, 4.13333)"
Acfer 333,340,Valid,CO3,489,Found,2001,27.56667,4.06667,"(27.56667, 4.06667)"
Acfer 347,353,Valid,L3,1165,Found,2001,27.68333,4.3,"(27.68333, 4.3)"
Acfer 348,354,Valid,L5,8750,Found,2001,27.97933,4.27817,"(27.97933, 4.27817)"
Acfer 349,355,Valid,H6,298,Found,2001,27.84067,4.31433,"(27.84067, 4.31433)"
Acfer 350,356,Valid,H4,128,Found,2001,27.672,4.52633,"(27.672, 4.52633)"
Acfer 351,357,Valid,L6,211,Found,2001,27.7,4.13333,"(27.7, 4.13333)"
Acfer 352,358,Valid,L5,873,Found,2001,27.76667,4.01667,"(27.76667, 4.01667)"
Acfer 353,359,Valid,Eucrite-cm,11935,Found,2001,27.48917,3.89,"(27.48917, 3.89)"
Acfer 354,360,Valid,LL5,252,Found,2001,27.5005,3.88233,"(27.5005, 3.88233)"
Acfer 357,363,Valid,LL5,62,Found,2001,27.50083,4.87467,"(27.50083, 4.87467)"
Acfer 394,53886,Valid,CR2,364,Found,2001,27.51867,3.88033,"(27.51867, 3.88033)"
Acfer 395,53887,Valid,CR2,394,Found,2001,27.50917,3.88767,"(27.50917, 3.88767)"
Acfer 396,53888,Valid,CR2,148,Found,2001,27.512,3.89783,"(27.512, 3.89783)"
Acfer 397,53889,Valid,CR2,105,Found,2001,27.509,3.89583,"(27.509, 3.89583)"
Acfer 398,55262,Valid,CR2,97,Found,2001,27.50217,3.86083,"(27.50217, 3.86083)"
Acfer 399,55263,Valid,CR2,89,Found,2001,27.50267,3.8725,"(27.50267, 3.8725)"
Acfer 400,55264,Valid,CR2,101,Found,2001,27.50083,3.86617,"(27.50083, 3.86617)"
Adrar Bous,384,Valid,EL5,360,Found,2001,20.5,9,"(20.5, 9.0)"
Aguemour 017,416,Valid,L6,1000,Found,2001,27.4,4.35,"(27.4, 4.35)"
Al Huqf 052,45822,Valid,H~5,1319.4,Found,2001,19.65675,57.0433,"(19.65675, 57.0433)"
Al Huqf 053,45823,Valid,H~5,854.7,Found,2001,19.61287,57.27038,"(19.61287, 57.27038)"
Al Huqf 054,45824,Valid,L~6,2936.5,Found,2001,19.61612,57.2698,"(19.61612, 57.2698)"
Al Huqf 055,45825,Valid,H4,1865.6,Found,2001,19.64073,57.28857,"(19.64073, 57.28857)"
Al Huqf 056,45826,Valid,H5,124,Found,2001,19.66453,57.3334,"(19.66453, 57.3334)"
Al Huqf 057,45827,Valid,H5,105.3,Found,2001,19.53112,57.08427,"(19.53112, 57.08427)"
Al Huqf 058,45828,Valid,L~6,97.7,Found,2001,19.3421,57.1693,"(19.3421, 57.1693)"
Al Huqf 059,45829,Valid,L~3,362.7,Found,2001,19.31468,57.27343,"(19.31468, 57.27343)"
Al Huqf 060,45830,Valid,L~6,913.1,Found,2001,19.40518,57.26818,"(19.40518, 57.26818)"
Al Huqf 062,45831,Valid,H~4,50.7,Found,2001,19.40772,57.29878,"(19.40772, 57.29878)"
Ararki,45408,Valid,L5,4460,Found,2001,29.06,74.44,"(29.06, 74.44)"
Arches,2328,Valid,L5,534,Found,2001,38.68867,-109.58517,"(38.68867, -109.58517)"
Beyneu,30444,Valid,H6,45,Found,2001,45.4633,55.23497,"(45.4633, 55.23497)"
Bluewing 008,5086,Valid,H5,451.7,Found,2001,40.27957,-118.94642,"(40.27957, -118.94642)"
Bou Kra,5119,Valid,H6,130,Found,2001,26.6325,-12.81025,"(26.6325, -12.81025)"
Coyote Dry Lake 151,30479,Valid,H6,90.04,Found,2001,35.05602,-116.72368,"(35.05602, -116.72368)"
Coyote Dry Lake 152,30480,Valid,H5,10.84,Found,2001,35.05607,-116.72365,"(35.05607, -116.72365)"
Coyote Dry Lake 153,30481,Valid,H5,13.87,Found,2001,35.07362,-116.76372,"(35.07362, -116.76372)"
Coyote Dry Lake 155,30482,Valid,H4,17.02,Found,2001,35.06847,-116.76905,"(35.06847, -116.76905)"
Coyote Dry Lake 159,30483,Valid,H5,17.7,Found,2001,35.05865,-116.76872,"(35.05865, -116.76872)"
Dar al Gani 1022,5639,Valid,LL7,33.6,Found,2001,27.08333,16.25,"(27.08333, 16.25)"
Dar al Gani 1040,30501,Valid,CV3,781,Found,2001,27.28133,16.40833,"(27.28133, 16.40833)"
Dar al Gani 1048,44881,Valid,Lunar (feldsp. breccia),0.8,Found,2001,27.20167,16.31117,"(27.20167, 16.31117)"
Dar al Gani 872,6419,Valid,Eucrite-mmict,885,Found,2001,27.21917,16.22633,"(27.21917, 16.22633)"
Dar al Gani 898,6445,Valid,H4,828,Found,2001,27.0345,16.14283,"(27.0345, 16.14283)"
Dar al Gani 980,6520,Valid,H4,93,Found,2001,26.83733,16.61367,"(26.83733, 16.61367)"
Dar al Gani 981,6521,Valid,L5,931,Found,2001,27.20983,16.4265,"(27.20983, 16.4265)"
Dar al Gani 995,6535,Valid,Eucrite-pmict,56.12,Found,2001,27.1725,16.38617,"(27.1725, 16.38617)"
David Glacier 01001,6605,Valid,L6,134.1,Found,2001,-75.68139,155.45306,"(-75.68139, 155.45306)"
Dhofar 1002,6802,Valid,L6,61.82,Found,2001,18.55905,54.09825,"(18.55905, 54.09825)"
Dhofar 1003,6803,Valid,H5,7.61,Found,2001,18.92655,54.2624,"(18.92655, 54.2624)"
Dhofar 1004,6804,Valid,H3,113.68,Found,2001,19.0448,54.50738,"(19.0448, 54.50738)"
Dhofar 1005,6805,Valid,H3,35.37,Found,2001,19.06285,54.49708,"(19.06285, 54.49708)"
Dhofar 1018,6819,Valid,H5,506,Found,2001,18.71522,54.37633,"(18.71522, 54.37633)"
Dhofar 1019,6820,Valid,H5/6,194,Found,2001,18.72603,54.37865,"(18.72603, 54.37865)"
Dhofar 1020,6822,Valid,H6,105,Found,2001,18.73693,54.47907,"(18.73693, 54.47907)"
Dhofar 1021,6823,Valid,L3,61,Found,2001,18.73293,54.58742,"(18.73293, 54.58742)"
Dhofar 1022,6824,Valid,H(L)3-an,271,Found,2001,19.24968,54.65495,"(19.24968, 54.65495)"
Dhofar 1023,6825,Valid,L(LL)3,69.7,Found,2001,19.28813,54.52832,"(19.28813, 54.52832)"
Dhofar 1074,6881,Valid,H5,1150,Found,2001,18.73953,54.19547,"(18.73953, 54.19547)"
Dhofar 1075,6882,Valid,L6,76.5,Found,2001,18.75495,54.19122,"(18.75495, 54.19122)"
Dhofar 1076,6883,Valid,H3-5,243,Found,2001,18.73805,54.19367,"(18.73805, 54.19367)"
Dhofar 1077,6884,Valid,L5/6,118.9,Found,2001,18.73048,54.18233,"(18.73048, 54.18233)"
Dhofar 1078,6885,Valid,H5/6,72.2,Found,2001,18.74547,54.1939,"(18.74547, 54.1939)"
Dhofar 1079,6886,Valid,H4/5,2132,Found,2001,18.74372,54.20047,"(18.74372, 54.20047)"
Dhofar 1080,6888,Valid,H3,127.2,Found,2001,18.74065,54.1997,"(18.74065, 54.1997)"
Dhofar 1081,6889,Valid,L5,833,Found,2001,18.74498,54.198,"(18.74498, 54.198)"
Dhofar 1082,6890,Valid,H4/5,2493.5,Found,2001,18.74215,54.1942,"(18.74215, 54.1942)"
Dhofar 1083,6891,Valid,L6,257.8,Found,2001,18.73882,54.19487,"(18.73882, 54.19487)"
Dhofar 1291,34507,Valid,H3.9,66,Found,2001,18.31667,54.14667,"(18.31667, 54.14667)"
Dhofar 1292,34508,Valid,H3.9,26,Found,2001,18.85167,54.66167,"(18.85167, 54.66167)"
Dhofar 1293,34509,Valid,H3.9,69,Found,2001,18.84667,54.665,"(18.84667, 54.665)"
Dhofar 1297,34513,Valid,H5,184,Found,2001,19.14,54.77,"(19.14, 54.77)"
Dhofar 1315,34531,Valid,L/LL5,12,Found,2001,19.15167,54.775,"(19.15167, 54.775)"
Dhofar 1317,34533,Valid,L6,12,Found,2001,18.42,54.10333,"(18.42, 54.10333)"
Dhofar 1401,35491,Valid,LL~6,42.03,Found,2001,19.19135,54.65545,"(19.19135, 54.65545)"
Dhofar 1402,44711,Valid,L~6,8.94,Found,2001,19.0823,54.77837,"(19.0823, 54.77837)"
Dhofar 1403,35492,Valid,L~5,93.05,Found,2001,19.14362,54.8831,"(19.14362, 54.8831)"
Dhofar 1404,35493,Valid,L~6,67.48,Found,2001,19.20305,54.78495,"(19.20305, 54.78495)"
Dhofar 1405,35494,Valid,L~6,11.53,Found,2001,19.07152,54.77338,"(19.07152, 54.77338)"
Dhofar 1406,35495,Valid,L~6,42.46,Found,2001,19.15545,54.71392,"(19.15545, 54.71392)"
Dhofar 1407,44712,Valid,L~6,27.64,Found,2001,19.06712,54.77877,"(19.06712, 54.77877)"
Dhofar 1408,35496,Valid,L~5,81.93,Found,2001,19.1422,54.88057,"(19.1422, 54.88057)"
Dhofar 1409,35497,Valid,L~5,128.96,Found,2001,19.14145,54.8788,"(19.14145, 54.8788)"
Dhofar 1410,35498,Valid,L~6,30.45,Found,2001,19.15895,54.70497,"(19.15895, 54.70497)"
Dhofar 1411,35499,Valid,L~5,12.09,Found,2001,19.07285,54.77768,"(19.07285, 54.77768)"
Dhofar 1412,35500,Valid,L~6,38.13,Found,2001,19.11375,54.82245,"(19.11375, 54.82245)"
Dhofar 1413,35501,Valid,L~6,40.2,Found,2001,19.14068,54.67448,"(19.14068, 54.67448)"
