name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
LaPaz Icefield 04689,45237,Valid,H5,11.2,Found,2004,,,
LaPaz Icefield 04690,45238,Valid,L6,10.2,Found,2004,,,
LaPaz Icefield 04691,45239,Valid,L5,11.7,Found,2004,,,
LaPaz Icefield 04692,45240,Valid,L6,12.6,Found,2004,,,
LaPaz Icefield 04693,45241,Valid,L5,11.3,Found,2004,,,
LaPaz Icefield 04694,45242,Valid,L5,7.5,Found,2004,,,
LaPaz Icefield 04695,45243,Valid,L5,7.4,Found,2004,,,
LaPaz Icefield 04696,45244,Valid,LL5,7.4,Found,2004,,,
LaPaz Icefield 04697,45245,Valid,L5,2.8,Found,2004,,,
LaPaz Icefield 04698,45246,Valid,L5,5.4,Found,2004,,,
LaPaz Icefield 04699,45247,Valid,L5,6.9,Found,2004,,,
LaPaz Icefield 04700,45248,Valid,L5,7.1,Found,2004,,,
LaPaz Icefield 04701,45249,Valid,L5,7.6,Found,2004,,,
LaPaz Icefield 04702,45250,Valid,LL5,4.6,Found,2004,,,
LaPaz Icefield 04703,45251,Valid,H5,6.1,Found,2004,,,
LaPaz Icefield 04704,45252,Valid,H6,4.1,Found,2004,,,
LaPaz Icefield 04705,45253,Valid,H6,1.9,Found,2004,,,
LaPaz Icefield 04706,45254,Valid,L5,2.7,Found,2004,,,
LaPaz Icefield 04707,45255,Valid,L6,1.9,Found,2004,,,
LaPaz Icefield 04708,45256,Valid,L5,1.1,Found,2004,,,
LaPaz Icefield 04709,45257,Valid,L6,0.7,Found,2004,,,
LaPaz Icefield 04710,46160,Valid,L5,154.6,Found,2004,,,
LaPaz Icefield 04711,46161,Valid,L5,54.4,Found,2004,,,
LaPaz Icefield 04712,46162,Valid,L5,128.3,Found,2004,,,
LaPaz Icefield 04713,46163,Valid,L5,92.8,Found,2004,,,
LaPaz Icefield 04714,46164,Valid,LL6,61.7,Found,2004,,,
LaPaz Icefield 04715,46165,Valid,L6,93.4,Found,2004,,,
LaPaz Icefield 04716,46166,Valid,LL6,66.6,Found,2004,,,
LaPaz Icefield 04717,46167,Valid,L5,100.8,Found,2004,,,
LaPaz Icefield 04718,46168,Valid,L5,50.3,Found,2004,,,
LaPaz Icefield 04719,46169,Valid,LL6,61.9,Found,2004,,,
LaPaz Icefield 04720,46170,Valid,CR2,58.8,Found,2004,,,
LaPaz Icefield 04721,46171,Valid,CR2,35,Found,2004,,,
LaPaz Icefield 04722,46172,Valid,L5,36.5,Found,2004,,,
LaPaz Icefield 04723,46173,Valid,L5,36.9,Found,2004,,,
LaPaz Icefield 04724,46174,Valid,H5,33.7,Found,2004,,,
LaPaz Icefield 04725,46175,Valid,L5,33,Found,2004,,,
LaPaz Icefield 04726,46176,Valid,L5,47.2,Found,2004,,,
LaPaz Icefield 04727,46177,Valid,L5,29.3,Found,2004,,,
LaPaz Icefield 04728,46178,Valid,L5,45.1,Found,2004,,,
LaPaz Icefield 04729,46179,Valid,L5,43.3,Found,2004,,,
LaPaz Icefield 04730,45258,Valid,LL5,26.5,Found,2004,,,
LaPaz Icefield 04731,45259,Valid,L6,14.5,Found,2004,,,
LaPaz Icefield 04732,45260,Valid,L5,25.8,Found,2004,,,
LaPaz Icefield 04733,45261,Valid,LL5,20.1,Found,2004,,,
