name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Northwest Africa 7119,54786,Valid,Mesosiderite,2254,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7120,54787,Valid,L3-melt breccia,1604,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7121,54788,Valid,CM2,16.1,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7122,54789,Valid,L4,2377,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7125,54792,Valid,LL6,26.6,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7128,54795,Valid,LL4,260,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7129,54796,Valid,Achondrite-ung,50,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7131,54798,Valid,CM2,40,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7143,54895,Valid,LL6,580,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7144,54896,Valid,H4,43418,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7146,54898,Valid,LL5,188,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7148,54900,Valid,LL5,3099,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7149,54901,Valid,H4,2318,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7150,54902,Valid,H4,45326,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7177,54856,Valid,LL6,17.3,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7178,54857,Valid,H5,191.34,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7179,54858,Valid,H4,153.57,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7180,55274,Valid,H3.6,240.5,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7181,55275,Valid,L3.5,543,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7182,54860,Valid,Martian (shergottite),17,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7189,54867,Valid,H4,2467,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7190,54868,Valid,Lunar (feldsp. breccia),5.28,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7195,54873,Valid,Ureilite,60.1,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7198,54949,Valid,H4,108,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7199,54950,Valid,H4,78,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7200,54951,Valid,H5,1692,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7201,55295,Valid,L3,89,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7202,54952,Valid,L6,691,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7203,55296,Valid,Angrite,107,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7206,55335,Valid,Eucrite-pmict,22,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7211,55290,Valid,LL4,51.6,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7213,55770,Valid,LL3,93.2,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7220,55302,Valid,L5,310,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7221,55303,Valid,L5,150,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7227,55309,Valid,CV3,341,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7228,55310,Valid,H4/5,2715,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7231,55313,Valid,Eucrite-pmict,191,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7232,55314,Valid,H4/5,87,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7234,55316,Valid,Eucrite-pmict,131,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7235,55317,Valid,LL6,1830,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7236,55318,Valid,L6,505,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7237,55319,Valid,L6,558,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7238,55320,Valid,L4,124,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7239,55321,Valid,L4,988,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7240,55322,Valid,L4,54,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7241,55323,Valid,L4,42,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7242,55324,Valid,H4/5,23,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7243,55325,Valid,H5-melt breccia,32,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7258,55540,Valid,Martian (shergottite),310,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7259,55541,Valid,Eucrite-pmict,73.2,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7271,55391,Valid,CO3,78,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7278,55524,Valid,L4,84.9,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7279,55754,Valid,Howardite,50.4,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7280,55755,Valid,Diogenite,246,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7282,55543,Valid,LL6,40,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7283,55544,Valid,LL6,188,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7285,55664,Valid,Eucrite,220,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7286,55587,Valid,LL4,102,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7299,55713,Valid,Brachinite,20,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7303,55757,Valid,R3-5,18.3,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7320,55622,Valid,Martian (shergottite),52,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7333,55761,Valid,Ureilite,88,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7337,55672,Valid,LL4,86,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7338,55673,Valid,LL4,58,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7339,55674,Valid,L5,243,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7340,55675,Valid,L4,49.7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7341,55676,Valid,L4,56,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7342,55677,Valid,H4,55,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7343,55678,Valid,L4,450,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7345,55680,Valid,L4,314,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7373,55730,Valid,L~6,193.8,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7381,55738,Valid,H~5,76.6,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7386,56308,Valid,Mesosiderite,131,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7410,55776,Valid,L5,43.7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7412,55777,Valid,H4,89.62,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7414,55778,Valid,H4,168.75,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7512,56386,Valid,R3,49.71,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7519,56317,Valid,L4,2028,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7557,56559,Valid,Howardite,270,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7559,56416,Valid,L5-6,267,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7560,56417,Valid,L6,1302,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7561,56418,Valid,L4,1063,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7562,56419,Valid,LL6,407,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7563,56420,Valid,L6,171,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7564,56421,Valid,L6,520,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7576,56580,Valid,Howardite,277,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7612,56587,Valid,LL4,193,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7613,56687,Valid,CV3,222,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7614,56688,Valid,LL3,226,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7616,56568,Valid,L5,402,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7617,56569,Valid,H4,700,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7618,56570,Valid,H4,140,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7619,56571,Valid,H4,154,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7620,57343,Valid,EL6,147,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7621,56572,Valid,H5,29,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7622,57344,Valid,H3,61,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7623,56573,Valid,L5,46,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7624,56574,Valid,H5,41.3,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7625,57164,Valid,H4,99.5,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7626,57345,Valid,H-melt breccia,60,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7627,57346,Valid,H-melt breccia,31,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7628,56651,Valid,L5,19.7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7659,56647,Valid,H4,295.7,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7661,56652,Valid,L5,100,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7662,56654,Valid,L5,882,Found,2011,24.77583,-14.56283,"(24.77583, -14.56283)"
Northwest Africa 7663,56655,Valid,LL5-6,276.6,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7680,57218,Valid,Achondrite-ung,123.72,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7684,56720,Valid,H4,314,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7687,56730,Valid,L5-6,288,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7688,57142,Valid,LL3,232,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7689,57143,Valid,L3,181,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7690,57144,Valid,CV3,125,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7691,56731,Valid,LL6,275,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7702,57151,Valid,Eucrite-pmict,50,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7703,56735,Valid,H6,123,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7752,56769,Valid,LL4-6,160,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7753,56770,Valid,LL6,2600,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7758,57203,Valid,L5,80,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7759,57204,Valid,H5,730,Found,2011,0,0,"(0.0, 0.0)"
Northwest Africa 7760,57205,Valid,H6,461,Found,2011,0,0,"(0.0, 0.0)"
