name,id,nametype,recclass,mass (g),fall,year,lat,lng,GeoLocation
Miller Range 07047,51109,Valid,L6,733.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07048,51110,Valid,L6,222.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07049,51111,Valid,H5,577.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07050,51112,Valid,H4,176.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07051,51113,Valid,H5,93.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07052,51114,Valid,L5,164.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07053,51115,Valid,L5,76.5,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07054,51116,Valid,L5,62.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07055,51117,Valid,H6,51.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07056,51118,Valid,L6,68.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07057,51119,Valid,H5,114.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07058,51120,Valid,H5,53,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07059,51121,Valid,L6,81.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07060,51122,Valid,H5,0.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07061,51123,Valid,H6,0.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07062,51124,Valid,H6,1.6,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07063,51125,Valid,L6,6.7,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07064,51126,Valid,H6,0.3,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07065,52173,Valid,LL6,1.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07066,51127,Valid,L6,0.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07067,51128,Valid,L5,0.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07068,51129,Valid,L6,1.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07069,51130,Valid,H6,0.7,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07070,51131,Valid,H6,18.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07071,51132,Valid,H5,9.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07072,51133,Valid,L6,0.3,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07073,51134,Valid,H5,0.3,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07074,51135,Valid,H5,4.5,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07075,51136,Valid,H5,1.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07076,51137,Valid,H5,13.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07077,51138,Valid,H5,10.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07078,51139,Valid,H5,0.6,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07079,51140,Valid,H5,57.7,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07080,51141,Valid,H5,20.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07081,51142,Valid,H5,3.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07082,51143,Valid,H5,12.6,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07084,51144,Valid,H5,4.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07085,51145,Valid,H5,0.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07086,51146,Valid,H5,14.5,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07087,51147,Valid,H5,13,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07088,51148,Valid,L5,7.5,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07089,51149,Valid,H5,32.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07090,51150,Valid,H6,3.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07091,51151,Valid,H5,7.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07092,51152,Valid,H6,0.5,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07093,51153,Valid,LL5,1.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07094,51154,Valid,H6,25.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07095,51155,Valid,H6,47.6,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07096,51156,Valid,H6,9.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07097,51157,Valid,H5,7.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07098,51158,Valid,L5,54.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07099,52174,Valid,CO3,13.1,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07100,51159,Valid,H6,254.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07101,51160,Valid,H6,285.2,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07102,51161,Valid,H6,350.8,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07103,51162,Valid,H6,138.4,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07104,51163,Valid,H6,109.7,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07105,51164,Valid,H5,139.9,Found,2007,0,0,"(0.0, 0.0)"
Miller Range 07106,51165,Valid,H5,118.2,Found,2007,0,0,"(0.0, 0.0)"
