name,recclass,mass,year,longitude,latitude,country,continent
Santa Rosa,"Iron, IC",825000,1810,25.0716052,55.9891334,Lithuania,Europe
Berlanguillas,L6,1440,1811,-3.7991096,41.6845335,Spain,Europe
Kuleschovka,L6,6000,1811,33.4971211,50.7506733,Ukraine,Europe
Punganaru,Stone-uncl,100,1811,78.9409438,13.3243118,India,Asia
Borodino,H5,500,1812,35.8592861,55.4647173,Russia,Europe
Chantonnay,L6,31500,1812,1.0498998,46.6827646,France,Europe
Erxleben,H6,2250,1812,11.2697122,52.2160686,Germany,Europe
Toulouse,H6,1030,1812,1.3965155,43.6024928,France,Europe
Limerick,H5,50000,1813,-8.7838124,52.5668665,Ireland,Europe
Luotolax,Howardite,885,1813,27.7003274,61.1983599,Finland,Europe
Agen,H5,30000,1814,0.6166838,44.2158485,France,Europe
Bachmut,L6,18000,1814,51.0046096,35.7443957,Iran,Asia
Chail,H6,0.5,1814,81.6893581,25.3797317,India,Asia
Gurram Konda,L6,28,1814,78.5749832,13.7794081,India,Asia
Lenarto,"Iron, IIIAB",108500,1814,31.0013733,52.4167979,Belarus,Europe
Chassigny,Martian (chassignite),4000,1815,5.3708208,47.7182738,France,Europe
Durala,L6,13200,1815,76.6198057,30.2959016,India,Asia
Hachi-oji,H?,0.2,1817,139.3323196,35.6493713,Japan,Asia
Seres,H4,8500,1818,23.5550534,41.0516514,Greece,Europe
Slobodka,L4,2750,1818,61.188958,52.1926312,Kazakhstan,Asia
Zaborzika,L6,3867,1818,27.6841637,50.282899,Ukraine,Europe
Cambria,"Iron, ungrouped",16300,1818,-78.803863,43.1916416,United States,North America
Cape York,"Iron, IIIAB",58200000,1818,not found,not found,not found,not found
Jonzac,Eucrite-mmict,5000,1819,-0.4501264,45.4347005,France,Europe
Pohlitz,L5,3000,1819,12.1315756,50.9320536,Germany,Europe
Burlington,"Iron, IIIE",68000,1819,-75.1834902,42.7497961,United States,North America
Lixna,H4,5213,1820,23.9178703,48.4996352,Ukraine,Europe
Juvinas,Eucrite-mmict,91000,1821,4.3102074,44.7148784,France,Europe
Angers,L6,,1822,-0.5498872,47.4666318,France,Europe
Clohars,L4,48.6,1822,not found,not found,not found,not found
Épinal,H5,277,1822,6.466165,48.1832134,France,Europe
Futtehpur,L6,4000,1822,80.8165131,25.9495288,India,Asia
Kadonah,H6,89,1822,78.3305246,27.0789882,India,Asia
Umbala,LL5,100,1822,76.3345313,30.3354631,India,Asia
Guilford County,"Iron, IIIAB",1100,1822,-79.830652,35.587414,United States,North America
Imilac,"Pallasite, PMG",920000,1822,not found,not found,not found,not found
Botschetschki,L4,614,1823,33.8827212,51.3334332,Ukraine,Europe
Nobleborough,Eucrite-pmict,2300,1823,-69.4828137,44.0840188,United States,North America
Renazzo,CR2,1000,1824,11.2833495,44.7666114,Italy,Europe
Tounkin,OC,2000,1824,102.5405815,51.7385674,Russia,Asia
Zebrak,H5,2000,1824,13.9277996,49.8891472,Czechia,Europe
Honolulu,L5,2420,1825,-157.8661759,21.299447,United States,Oceania
Nanjemoy,H6,7500,1825,-77.151717,38.4336471,United States,North America
Yanhuitlan,"Iron, IVA",421000,1825,-97.3576936,17.5352454,Mexico,North America
Galapian,H6,132.7,1826,0.4004954,44.2971959,France,Europe
Mineo,Pallasite,42,1826,14.6908487,37.2648752,Italy,Europe
Pavlograd,L6,40000,1826,35.9761598,48.5202897,Ukraine,Europe
Bialystok,Eucrite-pmict,4000,1827,23.1953958,53.1029507,Poland,Europe
Drake Creek,L6,5000,1827,-86.4999893,36.4000374,United States,North America
Mhow,L6,350,1827,83.6140962,25.8997204,India,Asia
Richmond,LL5,1800,1828,-77.4992505,37.4662758,United States,North America
La Caille,"Iron, ungrouped",626000,1828,6.7816216,43.7316433,France,Europe
Deal,L6,28,1829,-87.6881694,30.309451,United States,North America
Forsyth,L6,16300,1829,-83.9661919,33.0169055,United States,North America
Krasnoi-Ugol,L6,2440,1829,40.8902338,54.0078304,Russia,Europe
Bohumilitz,"Iron, IAB-MG",59000,1829,13.7655461,49.0496007,Czechia,Europe
Launton,L6,1060,1830,-1.1153995,51.8996469,United Kingdom,Europe
Perth,LL5,2,1830,-3.432981,56.3998414,United Kingdom,Europe
Vouillé,L6,20000,1831,0.1698362,46.6308352,France,Europe
Wessely,H5,3750,1831,17.3836681,48.9501183,Czechia,Europe
Walker County,"Iron, IIAB",74800,1832,-104.8929955,41.4725322,United States,North America
Blansko,H6,470,1833,16.6331933,49.3667438,Czechia,Europe
Charwallas,H6,12000,1834,75.5022127,29.4797487,India,Asia
Okniny,LL6,12000,1834,25.536355,50.9218623,Ukraine,Europe
Lime Creek,"Iron, IAB-ung",20000,1834,-87.5206183,31.5507745,United States,North America
Aldsworth,LL5,700,1835,-1.7826272,51.7836633,United Kingdom,Europe
Charlotte,"Iron, IVA",4300,1835,-87.3311206,36.1703355,United States,North America
Aubres,Aubrite,800,1836,5.1661228,44.3847555,France,Europe
Macau,H5,1500,1836,-36.6628361,-5.2022879,Brazil,South America
Mascombes,L6,1000,1836,1.8441075,45.3572974,France,Europe
Gibeon,"Iron, IVA",26000000,1836,-79.588526,39.150822,United States,North America
Wichita County,"Iron, IAB-MG",145000,1836,-98.916539,34.066669,United States,North America
Esnandes,L6,1500,1837,-1.0953583,46.2451083,France,Europe
Gross-Divina,H5,10500,1837,18.7109918,49.2658121,Slovakia,Europe
Yonozu,H4/5,31650,1837,153.3187399,-28.1266052,Australia,Oceania
Coahuila,"Iron, IIAB",2100000,1837,not found,not found,not found,not found
Cosby's Creek,"Iron, IAB-MG",960000,1837,-83.2503476,35.7780555,United States,North America
Akbarpur,H4,1800,1838,77.9561465,29.7047026,India,Asia
Chandakapur,L5,8800,1838,76.0058115,20.2676434,India,Asia
Cold Bokkeveld,CM2,5200,1838,not found,not found,not found,not found
Kaee,H5,230,1838,79.9529044,27.2894559,India,Asia
Montlivault,L6,500,1838,1.5868572,47.632487,France,Europe
Simbirsk (of P. Partsch),OC,1500,1838,48.397546,54.3015807,Russia,Europe
Slobodka (of P. Partsch),L6,950,1838,61.188958,52.1926312,Kazakhstan,Asia
Little Piney,L5,491,1839,-92.085879,37.910259,United States,North America
Asheville,"Iron, IIIAB",800,1839,-82.5337656,35.5830245,United States,North America
Black Mountain,"Iron, IAB-MG",800,1839,-82.3419335,35.5865374,United States,North America
Putnam County,"Iron, IVA",32700,1839,-83.248703,33.250248,United States,North America
Smithland,"Iron, IVA",5000,1839,-88.4015379,37.1350085,United States,North America
Cereseto,H5,6460,1840,8.303504,45.0801827,Italy,Europe
Karakol,LL6,3000,1840,not found,not found,not found,not found
Uden,LL7,710,1840,5.6166919,51.649914,Netherlands,Europe
Abo,H,1.2,1840,22.2998421,60.4334742,Finland,Europe
Carthage,"Iron, IIIAB",127000,1840,-85.9840035,36.2641813,United States,North America
Magura,"Iron, IAB-MG",150000,1840,19.4949101,49.3280128,Slovakia,Europe
Smithville,"Iron, IAB-MG",70500,1840,-85.8466291,35.9864421,United States,North America
Château-Renard,L6,30000,1841,2.9169717,47.9328463,France,Europe
Grüneberg,H4,1000,1841,15.5001755,51.9330422,Poland,Europe
St. Christophe-la-Chartreuse,L6,5500,1841,4.0778,51.5492,Netherlands,Europe
Petropavlovsk,"Iron, ungrouped",7000,1841,not found,not found,not found,not found
Aumieres,L6,2000,1842,3.2319939,44.3369634,France,Europe
Barea,Mesosiderite-A1,3200,1842,-2.4964813,42.3761846,Spain,Europe
Milena,L6,10000,1842,16.1062096,46.1947446,Croatia,Europe
Myhee Caunta,OC,,1842,72.6365753,23.0479629,India,Asia
Babb's Mill (Troost's Iron),"Iron, ungrouped",6400,1842,-82.8833362,36.3000001,United States,North America
Bishopville,Aubrite,6000,1843,-80.282956,34.167344,United States,North America
Klein-Wenden,H6,3250,1843,76.4,26.18,India,Asia
Manegaon,Diogenite,50,1843,76.0909706,20.9612818,India,Asia
Picote,Stone-uncl,,1843,-6.2348864,41.3638712,Spain,Europe
Utrecht,L6,9700,1843,5.1835042,52.1165236,Netherlands,Europe
Verkhne Tschirskaia,H5,8000,1843,43.2694938,48.4979259,Russia,Europe
Berdyansk,L6,2250,1843,36.8165633,46.7507193,Ukraine,Europe
Cosina,H5,1200,1844,-100.8787213,21.1598353,Mexico,North America
Favars,H5,1500,1844,2.8165078,44.3824962,France,Europe
Killeter,H6,140,1844,-7.6651773,54.6607819,United Kingdom,Europe
Ruff's Mountain,"Iron, IIIAB",53070,1844,-81.400006,34.2999996,United States,North America
Le Pressoir,H5,3000,1845,0.4316043,47.1987925,France,Europe
Le Teilleul,Howardite,780,1845,-0.8678082,48.5335773,France,Europe
Barratta,L4,200000,1845,144.5488733,-35.1667096,Australia,Oceania
Cape Girardeau,H6,2300,1846,-89.5866429,37.2651439,United States,North America
Monte Milone,L5,3130,1846,13.3505333,43.2660896,Italy,Europe
Schönenberg,L6,8000,1846,10.4667904,48.1167588,Germany,Europe
Assam,L5,2700,1846,9.2680427,47.4180255,Switzerland,Europe
Deep Springs,"Iron, ungrouped",11500,1846,-79.748811,36.501343,United States,North America
Jackson County,"Iron, IIIAB",450,1846,-85.496614,36.416363,United States,North America
Netschaëvo,"Iron, IIE-an",250000,1846,35.1440891,54.2305303,Russia,Europe
Braunau,"Iron, IIAB",39000,1847,16.2996338,50.5999338,Czechia,Europe
Marion (Iowa),L6,28400,1847,-91.5855104,41.904285,United States,North America
Murfreesboro,"Iron, ungrouped",8600,1847,-86.4154366,35.8384752,United States,North America
Seeläsgen,"Iron, IAB-MG",102000,1847,15.5443358,52.2640062,Poland,Europe
Singhur,Pallasite?,14180,1847,73.8997003,18.2973921,India,Asia
Castine,L6,94,1848,-68.7499555,44.383839,United States,North America
Dharwar,OC,1800,1848,75.6031402,14.8881391,India,Asia
Marmande,L5,3000,1848,0.1496779,44.4963792,France,Europe
Ski,L6,850,1848,10.867982,59.733758,Norway,Europe
Monroe,H4,8600,1849,-80.5013018,35.2507349,United States,North America
Chesterville,"Iron, IIAB",16500,1849,-81.1999857,34.6997247,United States,North America
Fukue,Iron,7.3,1849,128.8488966,32.6993495,Japan,Asia
Kesen,H4,135000,1850,141.6190668,38.9805437,Japan,Asia
Shalka,Diogenite,4000,1850,87.301671,23.0997575,India,Asia
Botetourt County,Iron,500,1850,-79.7504887,37.500082,United States,North America
Pittsburg,"Iron, IAB-MG",600,1850,33.4498888,44.5540708,Ukraine,Europe
Salt River,"Iron, IIC",3600,1850,-85.7821829,37.9470114,United States,North America
Schwetz,"Iron, IIIAB",21500,1850,18.4503076,53.4003172,Poland,Europe
Seneca Falls,"Iron, IIIAB",4000,1850,-76.7854467,42.9170758,United States,North America
Tucson,"Iron, ungrouped",975000,1850,-110.9666798,31.8499968,United States,North America
Gütersloh,H3/4,1000,1851,8.383437,51.9166564,Germany,Europe
Nulles,H6,5000,1851,0.7447152,41.6326979,Spain,Europe
Quincay,L6,65,1851,0.2600804,46.5941028,France,Europe
Borkut,L5,7000,1852,24.2829039,48.150458,Ukraine,Europe
Bustee,Aubrite,1500,1852,82.8381076,26.784435,India,Asia
Mezö-Madaras,L3.7,22700,1852,25.738648,46.4960069,Romania,Europe
Yatoor,H5,13600,1852,79.7614083,14.2930139,India,Asia
Chupaderos,"Iron, IIIAB",24300000,1852,-121.7843594,49.3020183,Canada,North America
Cranberry Plains,"Iron, IVA",90,1852,-80.726013,37.231735,United States,North America
Mainz,L6,1700,1852,28.8928266,47.059842,Moldova,Europe
Rodeo,"Iron, IID",44000,1852,-104.7180694,25.3699098,Mexico,North America
Duruma,L6,577,1853,52.52219,29.6095525,Iran,Asia
Girgenti,L6,18000,1853,13.5642154,37.3136201,Italy,Europe
