name,recclass,mass,year,longitude,latitude,country,continent
Yamato 791185,H5,5.86,1979,not found,not found,not found,not found
Yamato 791186,Eucrite-mmict,99.58,1979,not found,not found,not found,not found
Yamato 791187,Diogenite,24,1979,not found,not found,not found,not found
Yamato 791188,Diogenite,9.17,1979,not found,not found,not found,not found
Yamato 791189,Diogenite,6.23,1979,not found,not found,not found,not found
Yamato 791190,CM2,10.88,1979,not found,not found,not found,not found
Yamato 791191,CM2,70.08,1979,not found,not found,not found,not found
Yamato 791192,Howardite,364.1,1979,not found,not found,not found,not found
Yamato 791193,Diogenite,12.61,1979,not found,not found,not found,not found
Yamato 791194,Diogenite,129.73,1979,not found,not found,not found,not found
Yamato 791195,Eucrite-cm,100.29,1979,not found,not found,not found,not found
Yamato 791197,Lunar (anorth),52.4,1979,not found,not found,not found,not found
Yamato 791198,CM2,179.77,1979,not found,not found,not found,not found
Yamato 791199,Diogenite,121.88,1979,not found,not found,not found,not found
Yamato 791200,Diogenite,51.58,1979,not found,not found,not found,not found
Yamato 791201,Diogenite,9.61,1979,not found,not found,not found,not found
Yamato 791202,Diogenite,9.42,1979,not found,not found,not found,not found
Yamato 791203,Diogenite,6.26,1979,not found,not found,not found,not found
Yamato 791204,Diogenite,2.19,1979,not found,not found,not found,not found
Yamato 791205,H5,24.46,1979,not found,not found,not found,not found
Yamato 791206,Howardite,20.05,1979,not found,not found,not found,not found
Yamato 791207,Howardite,4.14,1979,not found,not found,not found,not found
Yamato 791208,Howardite,47.91,1979,not found,not found,not found,not found
Yamato 791209,H5,3288,1979,not found,not found,not found,not found
Yamato 791210,H4/5,355.09,1979,not found,not found,not found,not found
Yamato 791211,H4/5,161.67,1979,not found,not found,not found,not found
Yamato 791212,H4/5,104.79,1979,not found,not found,not found,not found
Yamato 791213,H4/5,76.95,1979,not found,not found,not found,not found
Yamato 791214,H4/5,88.21,1979,not found,not found,not found,not found
Yamato 791215,H4/5,64.5,1979,not found,not found,not found,not found
Yamato 791216,H4/5,130,1979,not found,not found,not found,not found
Yamato 791217,H4,157.31,1979,not found,not found,not found,not found
Yamato 791218,H4,40.04,1979,not found,not found,not found,not found
Yamato 791219,H4/5,22.8,1979,not found,not found,not found,not found
Yamato 791220,H4/5,31.03,1979,not found,not found,not found,not found
Yamato 791221,H4/5,43.66,1979,not found,not found,not found,not found
Yamato 791222,H4/5,40.57,1979,not found,not found,not found,not found
Yamato 791223,H4/5,31.21,1979,not found,not found,not found,not found
Yamato 791224,H4/5,26.51,1979,not found,not found,not found,not found
Yamato 791225,H4/5,22.91,1979,not found,not found,not found,not found
Yamato 791226,H4/5,24.86,1979,not found,not found,not found,not found
Yamato 791227,H4/5,18.83,1979,not found,not found,not found,not found
Yamato 791228,H4/5,22.92,1979,not found,not found,not found,not found
Yamato 791229,H4/5,24.64,1979,not found,not found,not found,not found
Yamato 791230,H4/5,16.11,1979,not found,not found,not found,not found
Yamato 791231,H4/5,12.74,1979,not found,not found,not found,not found
Yamato 791232,H4/5,18.69,1979,not found,not found,not found,not found
Yamato 791233,H4/5,20.46,1979,not found,not found,not found,not found
Yamato 791234,H4/5,14.08,1979,not found,not found,not found,not found
Yamato 791235,H4/5,10.65,1979,not found,not found,not found,not found
Yamato 791236,H4/5,19.35,1979,not found,not found,not found,not found
Yamato 791237,H4/5,10.14,1979,not found,not found,not found,not found
Yamato 791238,H4/5,11.68,1979,not found,not found,not found,not found
Yamato 791239,H4/5,8.04,1979,not found,not found,not found,not found
Yamato 791240,H4/5,7.92,1979,not found,not found,not found,not found
Yamato 791241,H4/5,10.73,1979,not found,not found,not found,not found
Yamato 791242,H4/5,8.52,1979,not found,not found,not found,not found
Yamato 791243,H4/5,9.75,1979,not found,not found,not found,not found
Yamato 791244,H4/5,5.85,1979,not found,not found,not found,not found
Yamato 791245,H4/5,7.54,1979,not found,not found,not found,not found
Yamato 791246,H4/5,11.01,1979,not found,not found,not found,not found
Yamato 791247,H4/5,5.84,1979,not found,not found,not found,not found
Yamato 791248,H4/5,6.45,1979,not found,not found,not found,not found
Yamato 791249,H4/5,9.03,1979,not found,not found,not found,not found
Yamato 791250,H4/5,6.78,1979,not found,not found,not found,not found
Yamato 791251,H4/5,6.61,1979,not found,not found,not found,not found
Yamato 791252,H4/5,6.44,1979,not found,not found,not found,not found
Yamato 791253,H4/5,6.54,1979,not found,not found,not found,not found
Yamato 791254,H4/5,6.22,1979,not found,not found,not found,not found
Yamato 791255,H6,10.4,1979,not found,not found,not found,not found
Yamato 791256,H4/5,5.62,1979,not found,not found,not found,not found
Yamato 791257,H4/5,6.86,1979,not found,not found,not found,not found
Yamato 791258,H4/5,7.77,1979,not found,not found,not found,not found
Yamato 791259,H4/5,6.3,1979,not found,not found,not found,not found
Yamato 791260,H4/5,5.99,1979,not found,not found,not found,not found
Yamato 791261,H4/5,4.46,1979,not found,not found,not found,not found
Yamato 791262,H4/5,5.62,1979,not found,not found,not found,not found
Yamato 791263,H4/5,5.27,1979,not found,not found,not found,not found
Yamato 791264,H4/5,4.22,1979,not found,not found,not found,not found
Yamato 791265,H4/5,5.37,1979,not found,not found,not found,not found
Yamato 791266,H4/5,4.4,1979,not found,not found,not found,not found
Yamato 791267,H4/5,3.86,1979,not found,not found,not found,not found
Yamato 791268,H4/5,5.31,1979,not found,not found,not found,not found
Yamato 791269,H4/5,4.14,1979,not found,not found,not found,not found
Yamato 791270,L6,3.53,1979,not found,not found,not found,not found
Yamato 791271,H4/5,4.74,1979,not found,not found,not found,not found
Yamato 791272,H4/5,4.03,1979,not found,not found,not found,not found
Yamato 791273,H4/5,4.49,1979,not found,not found,not found,not found
Yamato 791274,H4/5,3.72,1979,not found,not found,not found,not found
Yamato 791275,H4/5,4.5,1979,not found,not found,not found,not found
Yamato 791276,H4/5,3.56,1979,not found,not found,not found,not found
Yamato 791277,H4/5,4.1,1979,not found,not found,not found,not found
Yamato 791278,H4/5,2.62,1979,not found,not found,not found,not found
Yamato 791279,H4/5,2.67,1979,not found,not found,not found,not found
Yamato 791280,H4/5,3.04,1979,not found,not found,not found,not found
Yamato 791281,H4/5,3.82,1979,not found,not found,not found,not found
Yamato 791282,H4/5,3.29,1979,not found,not found,not found,not found
Yamato 791283,H4/5,5.11,1979,not found,not found,not found,not found
Yamato 791284,H4/5,4.03,1979,not found,not found,not found,not found
Yamato 791285,H4/5,4.61,1979,not found,not found,not found,not found
Yamato 791286,H4/5,3.79,1979,not found,not found,not found,not found
Yamato 791287,H4/5,2.66,1979,not found,not found,not found,not found
Yamato 791288,H4/5,2.68,1979,not found,not found,not found,not found
Yamato 791289,H4/5,3.96,1979,not found,not found,not found,not found
Yamato 791290,H4/5,2.74,1979,not found,not found,not found,not found
Yamato 791291,H4/5,2.77,1979,not found,not found,not found,not found
Yamato 791292,H4/5,2.6,1979,not found,not found,not found,not found
Yamato 791293,H4/5,2.2,1979,not found,not found,not found,not found
Yamato 791294,H4/5,3.5,1979,not found,not found,not found,not found
Yamato 791295,H4/5,3.99,1979,not found,not found,not found,not found
Yamato 791296,H4/5,3.6,1979,not found,not found,not found,not found
Yamato 791297,H4/5,3.93,1979,not found,not found,not found,not found
Yamato 791298,H4/5,2.69,1979,not found,not found,not found,not found
Yamato 791299,H4/5,3.72,1979,not found,not found,not found,not found
Yamato 791300,H4/5,2.37,1979,not found,not found,not found,not found
Yamato 791301,H4/5,3.06,1979,not found,not found,not found,not found
Yamato 791302,H4/5,2.39,1979,not found,not found,not found,not found
Yamato 791303,H4/5,2.49,1979,not found,not found,not found,not found
Yamato 791304,H4/5,2.48,1979,not found,not found,not found,not found
Yamato 791305,H4/5,2.81,1979,not found,not found,not found,not found
Yamato 791306,H4/5,2.51,1979,not found,not found,not found,not found
Yamato 791307,H4/5,3.07,1979,not found,not found,not found,not found
Yamato 791308,H4/5,2.84,1979,not found,not found,not found,not found
Yamato 791309,H4/5,2.58,1979,not found,not found,not found,not found
Yamato 791310,H4/5,32.05,1979,not found,not found,not found,not found
Yamato 791311,H4/5,51.73,1979,not found,not found,not found,not found
Yamato 791312,H4/5,1841,1979,not found,not found,not found,not found
Yamato 791313,H5,640,1979,not found,not found,not found,not found
Yamato 791314,H4,626,1979,not found,not found,not found,not found
Yamato 791315,H4,352.57,1979,not found,not found,not found,not found
Yamato 791316,L6,283.11,1979,not found,not found,not found,not found
Yamato 791317,L6,164.42,1979,not found,not found,not found,not found
Yamato 791318,H,265.96,1979,not found,not found,not found,not found
Yamato 791319,L,137.4,1979,not found,not found,not found,not found
Yamato 791320,H6,128.09,1979,not found,not found,not found,not found
Yamato 791321,H6,65.21,1979,not found,not found,not found,not found
Yamato 791322,L6,141.06,1979,not found,not found,not found,not found
Yamato 791323,H5,134.2,1979,not found,not found,not found,not found
Yamato 791324,LL3.15,20.67,1979,not found,not found,not found,not found
Yamato 791325,H3,9.02,1979,not found,not found,not found,not found
Yamato 791326,LL4,7,1979,not found,not found,not found,not found
Yamato 791327,H4,5.26,1979,not found,not found,not found,not found
Yamato 791328,H5,4.36,1979,not found,not found,not found,not found
Yamato 791329,H4,5.52,1979,not found,not found,not found,not found
Yamato 791330,H5,3,1979,not found,not found,not found,not found
Yamato 791331,H5,2.35,1979,not found,not found,not found,not found
Yamato 791332,L5,2.27,1979,not found,not found,not found,not found
Yamato 791333,H4,1.84,1979,not found,not found,not found,not found
Yamato 791334,H5,1.84,1979,not found,not found,not found,not found
Yamato 791335,H5,1.79,1979,not found,not found,not found,not found
Yamato 791336,H4,1.47,1979,not found,not found,not found,not found
Yamato 791337,L6,1.74,1979,not found,not found,not found,not found
Yamato 791338,H3,1.46,1979,not found,not found,not found,not found
Yamato 791339,H4,1.01,1979,not found,not found,not found,not found
Yamato 791340,H3.8,34.2,1979,not found,not found,not found,not found
Yamato 791341,L6,33.71,1979,not found,not found,not found,not found
Yamato 791342,L6,10.73,1979,not found,not found,not found,not found
Yamato 791343,L6,8.55,1979,not found,not found,not found,not found
Yamato 791344,H4,10.74,1979,not found,not found,not found,not found
Yamato 791345,H4,8.7,1979,not found,not found,not found,not found
Yamato 791346,H4,6.6,1979,not found,not found,not found,not found
Yamato 791347,H5,14.57,1979,not found,not found,not found,not found
Yamato 791348,H4,13.36,1979,not found,not found,not found,not found
Yamato 791349,H6,10.72,1979,not found,not found,not found,not found
Yamato 791350,L6,13.01,1979,not found,not found,not found,not found
Yamato 791351,H4,6.15,1979,not found,not found,not found,not found
Yamato 791352,L3,3.86,1979,not found,not found,not found,not found
Yamato 791353,H6,6.32,1979,not found,not found,not found,not found
Yamato 791354,H3,5.2,1979,not found,not found,not found,not found
Yamato 791355,H4,4.71,1979,not found,not found,not found,not found
Yamato 791356,L6,2.37,1979,not found,not found,not found,not found
Yamato 791357,L4,2.78,1979,not found,not found,not found,not found
Yamato 791358,H4,2.74,1979,not found,not found,not found,not found
Yamato 791359,H5/6,2.05,1979,not found,not found,not found,not found
Yamato 791360,H4,2.14,1979,not found,not found,not found,not found
Yamato 791362,LL6,3.42,1979,not found,not found,not found,not found
Yamato 791363,H5,6.83,1979,not found,not found,not found,not found
Yamato 791364,H5,45.04,1979,not found,not found,not found,not found
Yamato 791366,L3.7,23.04,1979,not found,not found,not found,not found
Yamato 791367,H6,15.2,1979,not found,not found,not found,not found
Yamato 791368,L6,20.55,1979,not found,not found,not found,not found
Yamato 791369,LL6,11.05,1979,not found,not found,not found,not found
Yamato 791370,H3,9.07,1979,not found,not found,not found,not found
Yamato 791371,L6,11.13,1979,not found,not found,not found,not found
Yamato 791372,H4,5.3,1979,not found,not found,not found,not found
Yamato 791373,H4,8.71,1979,not found,not found,not found,not found
Yamato 791374,L6,6.3,1979,not found,not found,not found,not found
Yamato 791375,H5,5.2,1979,not found,not found,not found,not found
Yamato 791376,L6,4.94,1979,not found,not found,not found,not found
Yamato 791377,H3,4.74,1979,not found,not found,not found,not found
Yamato 791378,LL6,2.14,1979,not found,not found,not found,not found
Yamato 791379,L6,4.49,1979,not found,not found,not found,not found
Yamato 791380,L6,6.97,1979,not found,not found,not found,not found
Yamato 791381,L4,24.41,1979,not found,not found,not found,not found
Yamato 791382,H5,16.36,1979,not found,not found,not found,not found
Yamato 791383,H4,11.96,1979,not found,not found,not found,not found
Yamato 791384,L6,12.82,1979,not found,not found,not found,not found
Yamato 791385,H4,13.63,1979,not found,not found,not found,not found
Yamato 791386,H4,3.83,1979,not found,not found,not found,not found
Yamato 791387,H3,3.92,1979,not found,not found,not found,not found
Yamato 791388,LL4,3.55,1979,not found,not found,not found,not found
Yamato 791389,H4,3.74,1979,not found,not found,not found,not found
Yamato 791390,L4,2.32,1979,not found,not found,not found,not found
Yamato 791391,L6,3.03,1979,not found,not found,not found,not found
Yamato 791392,H5,3.08,1979,not found,not found,not found,not found
Yamato 791398,H5,0.96,1979,not found,not found,not found,not found
Yamato 791399,L/LL3,0.95,1979,not found,not found,not found,not found
Yamato 791406,H4,2048,1979,not found,not found,not found,not found
Yamato 791407,H4,58.1,1979,not found,not found,not found,not found
Yamato 791408,H4,45.93,1979,not found,not found,not found,not found
Yamato 791409,H4,54.16,1979,not found,not found,not found,not found
Yamato 791410,L6,16.69,1979,not found,not found,not found,not found
Yamato 791411,H6,4.96,1979,not found,not found,not found,not found
Yamato 791412,L6,24.98,1979,not found,not found,not found,not found
Yamato 791413,L6,203.61,1979,not found,not found,not found,not found
Yamato 791414,L6,52.96,1979,not found,not found,not found,not found
Yamato 791415,L6,22.46,1979,not found,not found,not found,not found
Yamato 791417,LL6,39.68,1979,not found,not found,not found,not found
Yamato 791418,H(?)4,16.16,1979,not found,not found,not found,not found
Yamato 791419,H6,37.61,1979,not found,not found,not found,not found
Yamato 791420,H4,18.91,1979,not found,not found,not found,not found
Yamato 791421,L5-6,811,1979,not found,not found,not found,not found
Yamato 791422,Diogenite,61.8,1979,not found,not found,not found,not found
Yamato 791423,H5,3.66,1979,not found,not found,not found,not found
Yamato 791424,Howardite,10.9,1979,not found,not found,not found,not found
Yamato 791425,H4,4.36,1979,not found,not found,not found,not found
Yamato 791426,L6,1.72,1979,not found,not found,not found,not found
Yamato 791427,H5,507.05,1979,not found,not found,not found,not found
Yamato 791428,H3.7,548.94,1979,not found,not found,not found,not found
Yamato 791429,L3.7,223.53,1979,not found,not found,not found,not found
Yamato 791430,H6,45.93,1979,not found,not found,not found,not found
Yamato 791431,L6,281.6,1979,not found,not found,not found,not found
Yamato 791432,L6,221.07,1979,not found,not found,not found,not found
Yamato 791433,CO3,3.13,1979,not found,not found,not found,not found
Yamato 791434,H4,265.2,1979,not found,not found,not found,not found
Yamato 791435,H4,15.09,1979,not found,not found,not found,not found
Yamato 791436,H6,6.68,1979,not found,not found,not found,not found
Yamato 791437,H6,28.2,1979,not found,not found,not found,not found
Yamato 791438,Eucrite-mmict,20.18,1979,not found,not found,not found,not found
Yamato 791439,Eucrite-pmict,31.05,1979,not found,not found,not found,not found
Yamato 791440,L6,89.65,1979,not found,not found,not found,not found
Yamato 791441,L6,105.66,1979,not found,not found,not found,not found
Yamato 791442,L6,189.53,1979,not found,not found,not found,not found
Yamato 791443,L6,11.32,1979,not found,not found,not found,not found
Yamato 791444,H4,550.84,1979,not found,not found,not found,not found
Yamato 791445,H6,4.75,1979,not found,not found,not found,not found
Yamato 791446,H4,17.6,1979,not found,not found,not found,not found
Yamato 791447,H4,1.99,1979,not found,not found,not found,not found
Yamato 791448,Howardite,35.6,1979,not found,not found,not found,not found
Yamato 791449,L6,108.33,1979,not found,not found,not found,not found
Yamato 791450,L6,192.86,1979,not found,not found,not found,not found
Yamato 791451,L6,8.07,1979,not found,not found,not found,not found
Yamato 791452,L5,204.59,1979,not found,not found,not found,not found
Yamato 791453,H4,158.89,1979,not found,not found,not found,not found
Yamato 791454,H4,8.4,1979,not found,not found,not found,not found
Yamato 791455,L6,54.83,1979,not found,not found,not found,not found
Yamato 791456,L6,37.05,1979,not found,not found,not found,not found
Yamato 791457,H4,41.39,1979,not found,not found,not found,not found
Yamato 791458,H4,8.04,1979,not found,not found,not found,not found
Yamato 791459,L6,23.65,1979,not found,not found,not found,not found
Yamato 791460,L6,10.59,1979,not found,not found,not found,not found
Yamato 791461,L6,11.44,1979,not found,not found,not found,not found
Yamato 791462,H5,94.23,1979,not found,not found,not found,not found
Yamato 791463,L6,10.28,1979,not found,not found,not found,not found
Yamato 791464,H4,18.02,1979,not found,not found,not found,not found
Yamato 791465,H6,3.23,1979,not found,not found,not found,not found
Yamato 791466,Diogenite,21.46,1979,not found,not found,not found,not found
Yamato 791467,Diogenite,18.71,1979,not found,not found,not found,not found
Yamato 791468,H5,11.29,1979,not found,not found,not found,not found
Yamato 791469,H4,5.09,1979,not found,not found,not found,not found
Yamato 791470,H5,6.96,1979,not found,not found,not found,not found
Yamato 791471,L5,141.83,1979,not found,not found,not found,not found
Yamato 791472,H3,7,1979,not found,not found,not found,not found
Yamato 791473,H4,6.81,1979,not found,not found,not found,not found
Yamato 791474,H4/5,67.05,1979,not found,not found,not found,not found
Yamato 791475,H4/5,14.38,1979,not found,not found,not found,not found
Yamato 791476,H4/5,23.47,1979,not found,not found,not found,not found
Yamato 791477,H4/5,214.87,1979,not found,not found,not found,not found
Yamato 791478,H4,146.95,1979,not found,not found,not found,not found
Yamato 791479,H4/5,1.39,1979,not found,not found,not found,not found
Yamato 791480,H4/5,6.74,1979,not found,not found,not found,not found
Yamato 791481,H4/5,2.13,1979,not found,not found,not found,not found
Yamato 791482,H4,352.62,1979,not found,not found,not found,not found
Yamato 791483,L6,73.59,1979,not found,not found,not found,not found
Yamato 791484,L6,19.18,1979,not found,not found,not found,not found
Yamato 791485,LL4-6,3.53,1979,not found,not found,not found,not found
Yamato 791486,L6,565.51,1979,not found,not found,not found,not found
Yamato 791487,L5/6,13.95,1979,not found,not found,not found,not found
Yamato 791488,H5,8.08,1979,not found,not found,not found,not found
Yamato 791489,Howardite,5.51,1979,not found,not found,not found,not found
Yamato 791490,H5,10.09,1979,not found,not found,not found,not found
Yamato 791491,Lodranite,31.6,1979,not found,not found,not found,not found
Yamato 791492,Howardite,41.12,1979,not found,not found,not found,not found
Yamato 791493,Lodranite,5.13,1979,not found,not found,not found,not found
Yamato 791494,L5,20.88,1979,not found,not found,not found,not found
Yamato 791495,H5,45.29,1979,not found,not found,not found,not found
Yamato 791496,L4/5,5.37,1979,not found,not found,not found,not found
Yamato 791497,Howardite,7.04,1979,not found,not found,not found,not found
Yamato 791498,CR2,3.11,1979,not found,not found,not found,not found
Yamato 791499,L6,9.94,1979,not found,not found,not found,not found
Yamato 791500,H3/4,1252,1979,not found,not found,not found,not found
Yamato 791501,H4,283.1,1979,not found,not found,not found,not found
Yamato 791502,H3/4,131.02,1979,not found,not found,not found,not found
Yamato 791503,H5,55.11,1979,not found,not found,not found,not found
Yamato 791504,H4,41.55,1979,not found,not found,not found,not found
Yamato 791505,H4,31.11,1979,not found,not found,not found,not found
Yamato 791506,H5,16.62,1979,not found,not found,not found,not found
Yamato 791507,H5,12.77,1979,not found,not found,not found,not found
Yamato 791508,H5,12.81,1979,not found,not found,not found,not found
Yamato 791509,H5,9.9,1979,not found,not found,not found,not found
Yamato 791510,E5-an,9.77,1979,not found,not found,not found,not found
Yamato 791511,H5,10.34,1979,not found,not found,not found,not found
Yamato 791512,H5,4.69,1979,not found,not found,not found,not found
Yamato 791513,H5,3.97,1979,not found,not found,not found,not found
Yamato 791514,H5,1.63,1979,not found,not found,not found,not found
Yamato 791515,H5,2.21,1979,not found,not found,not found,not found
Yamato 791516,L6,89.18,1979,not found,not found,not found,not found
Yamato 791517,L6,17.12,1979,not found,not found,not found,not found
Yamato 791518,L6,6.42,1979,not found,not found,not found,not found
Yamato 791519,H4,26.89,1979,not found,not found,not found,not found
Yamato 791520,L4,2.85,1979,not found,not found,not found,not found
Yamato 791521,L4,2.82,1979,not found,not found,not found,not found
Yamato 791522,L4,2.48,1979,not found,not found,not found,not found
Yamato 791523,L6,0.82,1979,not found,not found,not found,not found
Yamato 791524,H4,0.68,1979,not found,not found,not found,not found
Yamato 791525,L6,0.71,1979,not found,not found,not found,not found
Yamato 791526,H6,6.47,1979,not found,not found,not found,not found
Yamato 791527,H4,4.14,1979,not found,not found,not found,not found
Yamato 791528,L4,1.4,1979,not found,not found,not found,not found
Yamato 791529,L6,0.77,1979,not found,not found,not found,not found
Yamato 791531,L5,77.92,1979,not found,not found,not found,not found
Yamato 791532,L5,28.31,1979,not found,not found,not found,not found
Yamato 791535,H4,15.52,1979,not found,not found,not found,not found
Yamato 791536,LL6,839,1979,not found,not found,not found,not found
Yamato 791537,H3.6,66.18,1979,not found,not found,not found,not found
Yamato 791538,Ureilite,419.03,1979,not found,not found,not found,not found
Yamato 791539,LL,1907,1979,not found,not found,not found,not found
Yamato 791540,LL,9.95,1979,not found,not found,not found,not found
Yamato 791541,LL,5.79,1979,not found,not found,not found,not found
Yamato 791542,LL,2.44,1979,not found,not found,not found,not found
Yamato 791543,LL,0.99,1979,not found,not found,not found,not found
Yamato 791544,H6,1.58,1979,not found,not found,not found,not found
Yamato 791545,L4,195.17,1979,not found,not found,not found,not found
Yamato 791546,H4,76.87,1979,not found,not found,not found,not found
Yamato 791547,H4,2.92,1979,not found,not found,not found,not found
Yamato 791548,H4,2.1,1979,not found,not found,not found,not found
Yamato 791549,H4,1.9,1979,not found,not found,not found,not found
Yamato 791550,H4,1.17,1979,not found,not found,not found,not found
Yamato 791555,H6,1.06,1979,not found,not found,not found,not found
Yamato 791556,H5,129.25,1979,not found,not found,not found,not found
Yamato 791557,L6,90.65,1979,not found,not found,not found,not found
Yamato 791558,LL3.15,101.64,1979,not found,not found,not found,not found
Yamato 791559,H6,26.21,1979,not found,not found,not found,not found
Yamato 791560,H4,61.67,1979,not found,not found,not found,not found
Yamato 791561,H4,54.27,1979,not found,not found,not found,not found
Yamato 791562,H4,205.32,1979,not found,not found,not found,not found
Yamato 791563,H4,487.87,1979,not found,not found,not found,not found
Yamato 791564,H4,84.31,1979,not found,not found,not found,not found
Yamato 791565,H4,8.13,1979,not found,not found,not found,not found
Yamato 791566,L6,497.17,1979,not found,not found,not found,not found
Yamato 791567,H4,67.98,1979,not found,not found,not found,not found
Yamato 791568,L6,40.07,1979,not found,not found,not found,not found
Yamato 791569,L6,10.58,1979,not found,not found,not found,not found
Yamato 791570,L6,0.58,1979,not found,not found,not found,not found
Yamato 791571,L6,23.68,1979,not found,not found,not found,not found
Yamato 791572,H4,6.31,1979,not found,not found,not found,not found
Yamato 791573,Howardite,134.33,1979,not found,not found,not found,not found
Yamato 791574,L5/6,199.73,1979,not found,not found,not found,not found
Yamato 791575,L6,3.19,1979,not found,not found,not found,not found
Yamato 791576,L5/6,4.4,1979,not found,not found,not found,not found
Yamato 791577,L6,481.41,1979,not found,not found,not found,not found
Yamato 791578,L6,191.44,1979,not found,not found,not found,not found
Yamato 791579,L6,108.06,1979,not found,not found,not found,not found
Yamato 791580,L6,114.6,1979,not found,not found,not found,not found
Yamato 791581,L6,9.61,1979,not found,not found,not found,not found
Yamato 791582,L6,3.26,1979,not found,not found,not found,not found
Yamato 791583,L6,6.69,1979,not found,not found,not found,not found
Yamato 791584,L6,2.52,1979,not found,not found,not found,not found
Yamato 791585,L6,79.19,1979,not found,not found,not found,not found
Yamato 791586,L6,219.68,1979,not found,not found,not found,not found
Yamato 791587,L4,99.82,1979,not found,not found,not found,not found
Yamato 791589,H6,3.91,1979,not found,not found,not found,not found
Yamato 791590,H4,20.57,1979,not found,not found,not found,not found
Yamato 791591,L6,57.09,1979,not found,not found,not found,not found
Yamato 791592,L6,1.33,1979,not found,not found,not found,not found
Yamato 791593,L6,0.86,1979,not found,not found,not found,not found
Yamato 791594,L6,0.78,1979,not found,not found,not found,not found
Yamato 791595,H5,5.84,1979,not found,not found,not found,not found
Yamato 791596,L4,1.92,1979,not found,not found,not found,not found
Yamato 791597,H6,147.99,1979,not found,not found,not found,not found
Yamato 791598,L4,8.16,1979,not found,not found,not found,not found
Yamato 791599,L4,8.55,1979,not found,not found,not found,not found
Yamato 791600,H4,0.74,1979,not found,not found,not found,not found
Yamato 791601,CV3,2.06,1979,not found,not found,not found,not found
Yamato 791602,H6,3.35,1979,not found,not found,not found,not found
Yamato 791603,Diogenite,5.09,1979,not found,not found,not found,not found
Yamato 791604,H4,297.44,1979,not found,not found,not found,not found
Yamato 791605,H5,112.63,1979,not found,not found,not found,not found
Yamato 791606,H4,182.4,1979,not found,not found,not found,not found
Yamato 791607,H5,55.63,1979,not found,not found,not found,not found
Yamato 791608,H5,19.77,1979,not found,not found,not found,not found
Yamato 791609,H5,18.9,1979,not found,not found,not found,not found
Yamato 791610,H5,22.61,1979,not found,not found,not found,not found
Yamato 791611,H5,14.85,1979,not found,not found,not found,not found
Yamato 791612,H5,15.97,1979,not found,not found,not found,not found
Yamato 791613,H5,15.5,1979,not found,not found,not found,not found
Yamato 791614,H5,21.47,1979,not found,not found,not found,not found
Yamato 791615,H5,18.22,1979,not found,not found,not found,not found
Yamato 791616,H5,7.29,1979,not found,not found,not found,not found
Yamato 791617,H5,8.93,1979,not found,not found,not found,not found
Yamato 791618,H5,6.7,1979,not found,not found,not found,not found
Yamato 791619,H4/5,4.01,1979,not found,not found,not found,not found
Yamato 791620,H4/5,5.86,1979,not found,not found,not found,not found
Yamato 791621,H4/5,2.44,1979,not found,not found,not found,not found
Yamato 791622,H4/5,1.91,1979,not found,not found,not found,not found
Yamato 791623,H4/5,1.73,1979,not found,not found,not found,not found
Yamato 791624,H4/5,1.07,1979,not found,not found,not found,not found
Yamato 791625,H4/5,1.4,1979,not found,not found,not found,not found
Yamato 791626,H4/5,1.32,1979,not found,not found,not found,not found
Yamato 791627,L6,1.82,1979,not found,not found,not found,not found
Yamato 791628,L6,4.95,1979,not found,not found,not found,not found
Yamato 791629,H4,128.02,1979,not found,not found,not found,not found
Yamato 791630,L4,2243,1979,not found,not found,not found,not found
Yamato 791631,H5,12.3,1979,not found,not found,not found,not found
Yamato 791632,L5,534.79,1979,not found,not found,not found,not found
Yamato 791633,L4,634.33,1979,not found,not found,not found,not found
Yamato 791634,L4,333.77,1979,not found,not found,not found,not found
Yamato 791635,L4,653,1979,not found,not found,not found,not found
Yamato 791636,L4,112.52,1979,not found,not found,not found,not found
Yamato 791637,L4,109.23,1979,not found,not found,not found,not found
Yamato 791638,L4,63.72,1979,not found,not found,not found,not found
Yamato 791639,H5,13.66,1979,not found,not found,not found,not found
Yamato 791640,H3,8.69,1979,not found,not found,not found,not found
Yamato 791641,L4,5.37,1979,not found,not found,not found,not found
Yamato 791642,L4,4.35,1979,not found,not found,not found,not found
Yamato 791643,L4,2.85,1979,not found,not found,not found,not found
Yamato 791644,L4,134.58,1979,not found,not found,not found,not found
Yamato 791645,L4,55.95,1979,not found,not found,not found,not found
Yamato 791646,L4,12.59,1979,not found,not found,not found,not found
Yamato 791647,L4,4.62,1979,not found,not found,not found,not found
Yamato 791648,L4,5.48,1979,not found,not found,not found,not found
Yamato 791649,L4,2.32,1979,not found,not found,not found,not found
Yamato 791650,L4,0.78,1979,not found,not found,not found,not found
Yamato 791651,L4,3.05,1979,not found,not found,not found,not found
Yamato 791652,H6,349.1,1979,not found,not found,not found,not found
Yamato 791653,L4,7.89,1979,not found,not found,not found,not found
Yamato 791654,L4,3.35,1979,not found,not found,not found,not found
Yamato 791655,L4,48.78,1979,not found,not found,not found,not found
Yamato 791656,LL3.5,9.96,1979,not found,not found,not found,not found
Yamato 791657,L3,1.53,1979,not found,not found,not found,not found
Yamato 791658,H4,14.87,1979,not found,not found,not found,not found
Yamato 791659,L4,10.17,1979,not found,not found,not found,not found
Yamato 791660,L4,3.25,1979,not found,not found,not found,not found
